"Comment","Designator","Footprint","LCSC Part #"
"VBUS_RLED","D101","XXXXXX","XXXXXX"
"DEBUG_RLED","D102","XXXXXX","XXXXXX"
"BATT_ALED","D103","XXXXXX","XXXXXX"
"DEBUG_GLED","D104","XXXXXX","XXXXXX"
"3.3V_YLED","D105","XXXXXX","XXXXXX"
"DEBUG_BLED","D106","XXXXXX","XXXXXX"
"DEBUG_LED_CONN","J101","XXXXXX","XXXXXX"
"EPD_SPI_CONN","J102","XXXXXX","XXXXXX"
"HPC_CONN","J103","XXXXXX","XXXXXX"
"STORAGE_CONN","J104","XXXXXX","XXXXXX"
"GLOBAL_CONN","J106","XXXXXX","XXXXXX"
"INPUT_CONN","J107","XXXXXX","XXXXXX"
"CHARGER_CONN","J108","XXXXXX","XXXXXX"
"USBC_CONN","J109","XXXXXX","XXXXXX"
"150","R101","0603",""
"68","R102 R104 R105","XXXXXX","XXXXXX"
"82","R103","XXXXXX","XXXXXX"
"5.1","R106","XXXXXX","XXXXXX"
"TPD1E05U06-Q1","D201","XXXXXX","XXXXXX"
"ESD321","D202 D203","XXXXXX","XXXXXX"
"USB_C_Receptacle_USB2.0_16P","J201","XXXXXX","XXXXXX"
"5.1k","R204 R205","0603",""
"4.7uF","C301 C401 C403","XXXXXX","XXXXXX"
"1uF","C302 C402 C404 C405 C406 C407 C408 C409","0805",""
"22uF","C303","0805",""
"2.2uF","C304 C305 C306","0603",""
"100nF","C307 C501 C601","0603",""
"BATTERY_CONN","J301","XXXXXX","XXXXXX"
"2N7002","Q301","XXXXXX","XXXXXX"
"10k","R301 R302 R303 R401 R501 R502 R503 R701 R702 R703 R704","0603",""
"5k","R304","XXXXXX","XXXXXX"
"100k","R305 R404 R405 R601","0603",""
"BQ21061","U301","DSBGA-20","C2869893"
"MBR0530","D401 D402 D403","XXXXXX","XXXXXX"
"FPC24-0.5MM-EPD","EPD_FPC401","XXXXXX","XXXXXX"
"10uH 1A","L401","XXXXXX","XXXXXX"
"SI1308EDL","Q401","XXXXXX","XXXXXX"
"0.47","R402","XXXXXX","XXXXXX"
"3","R403","XXXXXX","XXXXXX"
"MOTOR_P_SF","J501","XXXXXX","XXXXXX"
"MOTOR_N_SF","J502","XXXXXX","XXXXXX"
"DA7280","U501","XXXXXX","XXXXXX"
"M95P32","U601","XXXXXX","XXXXXX"
"PLACEHOLDER_BT1","SW701","XXXXXX","XXXXXX"
"PLACEHOLDER_BT2","SW702","XXXXXX","XXXXXX"
"PLACEHOLDER_BT3","SW703","XXXXXX","XXXXXX"
"BT1","SW704","XXXXXX","XXXXXX"
"BT2","SW705","XXXXXX","XXXXXX"
"BT3","SW706","XXXXXX","XXXXXX"
"BT4","SW707","XXXXXX","XXXXXX"
