"Designator","Mid X","Mid Y","Layer","Rotation"
"SW604","185.65mm","-140mm","top","90.0"
"L401","111.5mm","-80mm","top","180.0"
"D101","115mm","-61.125mm","top","90.0"
"R305","154.0875mm","-68.5mm","top","180.0"
"D201","189.25mm","-56.5mm","top","-90.0"
"J201","186mm","-49.5mm","top","180.0"
"R102","119.04mm","-57mm","top","-90.0"
"R301","140mm","-60mm","top","-90.0"
"J301","161.5mm","-54.5mm","top","180.0"
"JP301","169.5mm","-64.7mm","top","90.0"
"JP102","125.5mm","-127.775mm","top","-90.0"
"D203","174mm","-56.8mm","top","-90.0"
"D103","123mm","-61.125mm","top","90.0"
"C401","107mm","-80mm","top","-90.0"
"D401","113mm","-97.425mm","top","90.0"
"R404","94.5mm","-69.4125mm","top","-90.0"
"R201","184mm","-57.9125mm","top","-90.0"
"D403","119mm","-97.425mm","top","-90.0"
"J101","116.5mm","-51mm","top","0.0"
"C408","106.0375mm","-113mm","top","180.0"
"R402","132.0875mm","-78mm","top","180.0"
"C406","106.0375mm","-106.98mm","top","180.0"
"JP401","129.7mm","-70.5mm","top","0.0"
"R202","187.51mm","-58.0875mm","top","-90.0"
"C306","149.5mm","-68.9625mm","top","-90.0"
"C407","106.0375mm","-109.99mm","top","180.0"
"J102","97mm","-89.5mm","top","90.0"
"J106","97mm","-51mm","top","0.0"
"R501","123mm","-133.5mm","top","0.0"
"R303","154.0875mm","-66.49mm","top","180.0"
"U501","131.6mm","-136.15mm","top","0.0"
"R602","173.5mm","-142.0875mm","top","90.0"
"C305","142.5mm","-68.9625mm","top","-90.0"
"J104","173.5mm","-50.975mm","top","0.0"
"R604","181.5mm","-142.0875mm","top","90.0"
"U302","146mm","-68.5mm","top","180.0"
"R306","146.49mm","-57mm","top","90.0"
"R405","99.5mm","-69.5mm","top","-90.0"
"JP105","130.275mm","-55.75mm","top","180.0"
"J103","142.5mm","-143mm","top","180.0"
"JP402","129.675mm","-75.5mm","top","0.0"
"R503","123mm","-140mm","top","0.0"
"D402","115.925mm","-102.425mm","top","90.0"
"J501","145.5mm","-132mm","top","0.0"
"SW603","185.65mm","-130.5mm","top","90.0"
"C403","116mm","-96.9625mm","top","-90.0"
"J107","189.5mm","-110.5mm","top","-90.0"
"R103","123.04mm","-57mm","top","-90.0"
"Q401","109mm","-86.85mm","top","180.0"
"R603","181.5mm","-132.5875mm","top","90.0"
"C409","100mm","-97mm","top","0.0"
"C404","119mm","-102.4625mm","top","90.0"
"SW601","169.35mm","-130.5mm","top","-90.0"
"JP104","168.775mm","-57mm","top","180.0"
"R307","149mm","-57mm","top","90.0"
"C304","157.5mm","-60mm","top","0.0"
"JP103","161.5mm","-124.775mm","top","-90.0"
"J105","140.75mm","-50.975mm","top","0.0"
"U301","158mm","-62.5mm","top","0.0"
"SW602","169.35mm","-140mm","top","-90.0"
"R601","173.5mm","-132.5875mm","top","90.0"
"R304","149mm","-60.5mm","top","-90.0"
"C501","131.5mm","-133mm","top","0.0"
"J502","145.5mm","-134.5mm","top","0.0"
"D202","176mm","-56.8mm","top","-90.0"
"R101","115.04mm","-57mm","top","-90.0"
"C303","153.5mm","-62.9625mm","top","-90.0"
"R502","123mm","-136.5mm","top","0.0"
"R403","127.0875mm","-78mm","top","0.0"
"EPD_FPC401","95.906mm","-107.749999mm","top","-90.0"
"Q301","143mm","-60.5mm","top","90.0"
"D102","119mm","-61.125mm","top","90.0"
"R401","113mm","-89.5mm","top","90.0"
"JP101","106mm","-70.5mm","top","-90.0"
"C405","106.0375mm","-103.97mm","top","180.0"
"C301","143mm","-57.5mm","top","180.0"
"C302","162.5mm","-62.9625mm","top","-90.0"
"C402","113mm","-102.425mm","top","90.0"
"R302","143mm","-64.5mm","top","180.0"
